Number_1,Number_2,Number_3,Number_4,Number_5,Number_6,Number_7
32,19,75,24,2,82,14
74,40,82,77,6,34,69
90,30,18,98,21,58,29
45,2,65,36,69,38,18
3,90,15,33,79,95,79
67,69,33,61,20,9,27
46,62,9,36,92,84,68
13,81,41,51,64,7,55
81,22,62,26,37,62,60
65,55,26,22,31,1,17
29,75,99,64,97,56,27
88,57,72,87,66,2,64
63,63,75,96,33,53,84
67,55,64,99,98,91,2
69,22,94,41,61,24,75
94,3,83,75,3,55,4
94,51,55,68,89,57,58
52,57,54,46,77,59,27
82,31,48,88,1,9,51
33,61,72,43,45,47,38
64,40,65,64,57,34,6
11,84,46,46,49,20,4
7,63,3,60,20,88,1
83,11,23,41,77,88,70
3,54,98,3,89,82,96
9,92,21,14,19,45,49
98,52,96,53,86,93,93
1,41,46,68,11,35,6
54,38,24,4,68,24,37
82,44,72,62,66,63,67
50,35,92,41,99,71,94
84,61,32,93,65,24,20
99,52,15,22,40,4,12
66,43,46,66,44,64,50
42,67,32,25,36,59,29
50,12,27,76,18,8,15
69,62,49,77,23,84,81
17,33,71,68,38,11,60
38,33,65,3,47,19,46
23,47,58,73,23,8,26
1,32,80,41,14,69,10
98,48,12,94,74,42,50
2,97,65,62,56,24,9
78,28,7,19,69,35,51
26,5,92,63,23,79,32
68,31,34,53,61,81,78
71,23,73,29,7,47,76
63,20,82,59,56,57,31
41,77,62,1,98,68,58
91,86,33,92,9,98,12
96,1,69,94,54,87,94
19,64,5,78,29,50,85
86,37,39,21,14,8,70
77,15,36,12,51,70,94
66,92,39,71,50,18,96
20,10,49,66,62,9,42
44,77,49,14,44,16,68
54,17,22,93,72,33,68
64,26,16,11,96,28,60
70,18,77,20,49,89,93
92,30,16,40,61,9,99
39,54,50,24,69,78,58
71,57,61,41,10,87,1
33,68,14,29,30,9,18
51,6,87,47,67,80,8
5,61,32,19,38,82,49
96,62,80,40,18,82,11
64,72,25,38,64,49,6
33,60,24,49,37,63,86
81,42,61,33,18,76,2
74,64,22,27,53,54,68
30,36,12,86,88,46,24
43,45,18,94,27,12,68
73,59,17,21,72,2,33
67,28,45,68,23,27,44
